Ano;Valor
2002;98847,21089
2003;119325,3987
2004;131192,2063
2005;136362,7686
2006;147622,5993
2007;168009,7521
2008;190229,8224
2009;204344,9402
2010;241249,1639
2011;265056,4163
2012;287587,0187
2013;332292,7261
2014;357816,4238
2015;381992,6011
2016;408789,5281
2017;423270,0473
2018;457293,9576
2019;482464,1775
2020;470941,846
2021;581283,6773
