Ano;Valor
2002;98847210893,73
2003;119325398659,76
2004;131192206296,16
2005;136362768609,61
2006;147622599258,42
2007;168009752060,17
2008;190229822441,72
2009;204344940205,05
2010;241249163902,15
2011;265056416291,24
2012;287587018680,03
2013;332292726075,4
2014;357816423826,5
2015;381985142741,15
2016;408789528052,05
2017;423270047301,93
2018;457293957587,09
2019;482464177470,65
2020;470941846049,47
2021;581283677303,46
2022;594960000000,0
2023;640300000000,0
