Ano;Valor
2002;1488787276030,0
2003;1717950386030,0
2004;1957751224050,0
2005;2170584503000,0
2006;2409449916000,0
2007;2720262950970,0
2008;3109803097000,0
2009;3333039338980,0
2010;3885847000000,0
2011;4376382000000,0
2012;4814759999999,99
2013;5331618956646,36
2014;5778952780000,01
2015;5995787000000,0
2016;6269328000000,0
2017;6585479000000,0
2018;7004141000000,0
2019;7389131000000,0
2020;7609597000001,08
2021;9012142000000,0
